State,January,February,March,April,May,June,July,August,September,October,November,December
Alabama,"376,408,171","334,797,766","318,022,644","367,652,933","345,091,569","358,611,162","354,783,237","349,703,320","354,149,508","358,758,847","352,618,771","339,185,054"
Alaska,"37,253,959","34,442,446","39,898,300","37,577,784","39,496,392","45,995,214","56,182,209","59,220,896","44,273,149","38,323,651","33,804,519","36,414,758"
Arizona,"314,783,867","327,240,798","372,708,632","335,342,135","358,544,336","329,674,033","315,453,403","352,777,889","345,759,965","334,810,535","347,014,278","352,159,952"
Arkansas,"169,267,110","175,363,174","187,314,834","182,262,301","209,010,391","195,383,117","186,586,130","200,360,322","188,774,694","196,727,908","201,754,167","186,305,937"
California,"1,286,177,521","1,295,132,202","1,527,986,890","1,364,740,194","1,410,910,035","1,492,876,944","1,369,918,561","1,447,165,583","1,489,340,701","1,422,309,871","1,326,989,847","1,532,003,624"
Colorado,"305,719,140","294,298,549","323,708,050","327,937,033","353,500,610","355,267,785","365,935,817","360,340,989","347,776,976","356,794,597","327,747,402","323,816,402"
Connecticut,"125,723,878","124,565,032","145,299,154","142,699,148","158,123,548","161,092,860","154,225,019","157,516,961","158,837,037","154,488,446","149,839,785","162,766,752"
Delaware,"40,743,593","43,076,541","47,374,096","45,340,357","49,824,254","49,667,591","51,250,460","54,772,197","50,757,387","49,590,533","47,825,729","49,479,297"
DC,"9,100,961","9,275,343","10,147,725","9,139,780","10,208,998","10,524,346","10,529,340","10,393,770","10,029,548","10,299,531","10,518,666","10,133,536"
Florida,"963,931,979","913,764,252","901,281,482","1,026,495,093","979,368,048","978,202,720","919,629,595","940,574,843","974,928,903","912,229,097","989,708,281","941,604,332"
Georgia,"515,563,551","517,871,347","330,837,773","586,297,569","176,368,989","535,537,272","584,534,919","592,164,268","561,097,699","580,323,962","568,351,061","551,190,185"
Hawaii,"38,061,704","36,966,810","41,002,850","40,333,697","40,760,263","39,199,540","40,617,578","42,810,744","40,337,950","40,735,771","38,983,209","39,769,695"
Idaho,"101,874,350","93,086,551","94,881,084","98,051,596","101,610,686","103,250,804","98,472,887","128,110,257","99,261,439","124,377,922","96,531,562","119,373,083"
Illinois,"462,661,817","433,858,763","489,610,832","470,589,389","497,537,335","493,874,848","468,502,763","490,270,309","502,006,396","500,962,890","478,977,626","500,570,579"
Indiana,"343,561,477","342,585,012","372,305,061","354,032,796","398,583,136","374,965,653","356,899,371","400,071,130","364,269,461","370,583,793","380,254,573","349,456,546"
Iowa,"213,950,779","161,590,035","190,762,977","209,861,271","204,996,715","199,643,861","218,612,508","216,909,611","203,105,429","229,739,866","202,039,260","182,606,856"
Kansas,"150,440,423","140,904,596","237,813,161","141,132,012","158,180,612","160,876,355","132,374,472","133,500,141","155,663,486","149,043,359","129,830,001","166,143,822"
Kentucky,"228,606,604","230,762,868","267,539,236","255,105,568","271,135,611","263,582,565","259,241,304","272,712,248","258,168,431","265,482,764","257,069,652","247,021,287"
