,state,total_fuel
0,Alabama,4209782982
1,Alaska,502883278
2,Arizona,4086269825
3,Arkansas,2279110088
4,California,16965551977
5,Colorado,4042843355
6,Connecticut,1795177626
7,DC,120301552
8,Delaware,579702042
9,Florida,11441718634
10,Georgia,6100138605
11,Hawaii,479579822
12,Idaho,1258882233
13,Illinois,5789423560
14,Indiana,4407568023
15,Iowa,2433819183
16,Kansas,1855902456
17,Kentucky,3076428155
18,Louisiana,3003895514
19,Maine,872441698
20,Maryland,3140316030
21,Massachusetts,2984623804
22,Michigan,5522531614
23,Minnesota,3260476605
24,Mississippi,2465203284
25,Missouri,4295135752
26,Montana,868625068
27,Nebraska,1442667896
28,Nevada,1623262954
29,New Hampshire,831640417
30,New Jersey,4381261885
31,New Mexico,1679474694
32,New York,6917967475
33,North Carolina,6272583880
34,North Dakota,702874935
35,Ohio,6374778231
36,Oklahoma,2899519130
37,Oregon,2142240499
38,Pennsylvania,6169759990
39,Puerto Rico,896274866
40,Rhode Island,446868434
41,South Carolina,3672779271
42,South Dakota,758564646
43,Tennessee,4628294479
44,Texas,20810754977
45,Utah,1905184622
46,Vermont,345327433
47,Virginia,4985854910
48,Washington,3396178573
49,West Virginia,1289155395
50,Wisconsin,3601455238
51,Wyoming,702806391
