,state,month,total_fuel
0,Alabama,index,0
1,Alaska,index,1
2,Arizona,index,2
3,Arkansas,index,3
4,California,index,4
5,Colorado,index,5
6,Connecticut,index,6
7,Delaware,index,7
8,DC,index,8
9,Florida,index,9
10,Georgia,index,10
11,Hawaii,index,11
12,Idaho,index,12
13,Illinois,index,13
14,Indiana,index,14
15,Iowa,index,15
16,Kansas,index,16
17,Kentucky,index,17
18,Louisiana,index,18
19,Maine,index,19
20,Maryland,index,20
21,Massachusetts,index,21
22,Michigan,index,22
23,Minnesota,index,23
24,Mississippi,index,24
25,Missouri,index,25
26,Montana,index,26
27,Nebraska,index,27
28,Nevada,index,28
29,New Hampshire,index,29
30,New Jersey,index,30
31,New Mexico,index,31
32,New York,index,32
33,North Carolina,index,33
34,North Dakota,index,34
35,Ohio,index,35
36,Oklahoma,index,36
37,Oregon,index,37
38,Pennsylvania,index,38
39,Rhode Island,index,39
40,South Carolina,index,40
41,South Dakota,index,41
42,Tennessee,index,42
43,Texas,index,43
44,Utah,index,44
45,Vermont,index,45
46,Virginia,index,46
47,Washington,index,47
48,West Virginia,index,48
49,Wisconsin,index,49
50,Wyoming,index,50
51,Puerto Rico,index,51
52,Alabama,January,376408171
53,Alaska,January,37253959
54,Arizona,January,314783867
55,Arkansas,January,169267110
56,California,January,1286177521
57,Colorado,January,305719140
58,Connecticut,January,125723878
59,Delaware,January,40743593
60,DC,January,9100961
61,Florida,January,963931979
62,Georgia,January,515563551
63,Hawaii,January,38061704
64,Idaho,January,101874350
65,Illinois,January,462661817
66,Indiana,January,343561477
67,Iowa,January,213950779
68,Kansas,January,150440423
69,Kentucky,January,228606604
70,Louisiana,January,245549563
71,Maine,January,17880469
72,Maryland,January,231318161
73,Massachusetts,January,226122239
74,Michigan,January,416021487
75,Minnesota,January,284496802
76,Mississippi,January,207002936
77,Missouri,January,319267454
78,Montana,January,58418389
79,Nebraska,January,105648600
80,Nevada,January,133385967
81,New Hampshire,January,64163906
82,New Jersey,January,328940713
83,New Mexico,January,141845035
84,New York,January,548284827
85,North Carolina,January,467132420
86,North Dakota,January,55815415
87,Ohio,January,484559742
88,Oklahoma,January,222903084
89,Oregon,January,169778976
90,Pennsylvania,January,463223791
91,Rhode Island,January,31380358
92,South Carolina,January,281003795
93,South Dakota,January,62471345
94,Tennessee,January,359066634
95,Texas,January,1652379602
96,Utah,January,147253373
97,Vermont,January,27507299
98,Virginia,January,344062238
99,Washington,January,247644073
100,West Virginia,January,90238276
101,Wisconsin,January,265336042
102,Wyoming,January,38854971
103,Puerto Rico,January,99273787
104,Alabama,February,334797766
105,Alaska,February,34442446
106,Arizona,February,327240798
107,Arkansas,February,175363174
108,California,February,1295132202
109,Colorado,February,294298549
110,Connecticut,February,124565032
111,Delaware,February,43076541
112,DC,February,9275343
113,Florida,February,913764252
114,Georgia,February,517871347
115,Hawaii,February,36966810
116,Idaho,February,93086551
117,Illinois,February,433858763
118,Indiana,February,342585012
119,Iowa,February,161590035
120,Kansas,February,140904596
121,Kentucky,February,230762868
122,Louisiana,February,241203208
123,Maine,February,67732405
124,Maryland,February,233161549
125,Massachusetts,February,228040422
126,Michigan,February,403150740
127,Minnesota,February,244611257
128,Mississippi,February,174872960
129,Missouri,February,293655946
130,Montana,February,60314799
131,Nebraska,February,105756308
132,Nevada,February,129820522
133,New Hampshire,February,63625109
134,New Jersey,February,331453087
135,New Mexico,February,123315401
136,New York,February,498319658
137,North Carolina,February,483875860
138,North Dakota,February,42107869
139,Ohio,February,485471584
140,Oklahoma,February,207120932
141,Oregon,February,162670382
142,Pennsylvania,February,449557489
143,Rhode Island,February,31669372
144,South Carolina,February,285215998
145,South Dakota,February,54303114
146,Tennessee,February,306824860
147,Texas,February,1549049479
148,Utah,February,141494835
149,Vermont,February,26921790
150,Virginia,February,397870050
151,Washington,February,249495993
152,West Virginia,February,76221790
153,Wisconsin,February,292678822
154,Wyoming,February,48875276
155,Puerto Rico,February,76355611
156,Alabama,March,318022644
157,Alaska,March,39898300
158,Arizona,March,372708632
159,Arkansas,March,187314834
160,California,March,1527986890
161,Colorado,March,323708050
162,Connecticut,March,145299154
163,Delaware,March,47374096
164,DC,March,10147725
165,Florida,March,901281482
166,Georgia,March,330837773
167,Hawaii,March,41002850
168,Idaho,March,94881084
169,Illinois,March,489610832
170,Indiana,March,372305061
171,Iowa,March,190762977
172,Kansas,March,237813161
173,Kentucky,March,267539236
174,Louisiana,March,263155466
175,Maine,March,114066573
176,Maryland,March,239471972
177,Massachusetts,March,247663025
178,Michigan,March,468036805
179,Minnesota,March,237292458
180,Mississippi,March,188931153
181,Missouri,March,392907487
182,Montana,March,72036141
183,Nebraska,March,117891121
184,Nevada,March,116810493
185,New Hampshire,March,67873671
186,New Jersey,March,369625102
187,New Mexico,March,136039196
188,New York,March,601053325
189,North Carolina,March,541281869
190,North Dakota,March,60529933
191,Ohio,March,548764729
192,Oklahoma,March,256658752
193,Oregon,March,168695150
194,Pennsylvania,March,541089673
195,Rhode Island,March,35215861
196,South Carolina,March,321589297
197,South Dakota,March,54098151
198,Tennessee,March,421321107
199,Texas,March,1791440782
200,Utah,March,159530681
201,Vermont,March,28777794
202,Virginia,March,400252718
203,Washington,March,289846997
204,West Virginia,March,83915071
205,Wisconsin,March,289515983
206,Wyoming,March,50467462
207,Puerto Rico,March,89966928
208,Alabama,April,367652933
209,Alaska,April,37577784
210,Arizona,April,335342135
211,Arkansas,April,182262301
212,California,April,1364740194
213,Colorado,April,327937033
214,Connecticut,April,142699148
215,Delaware,April,45340357
216,DC,April,9139780
217,Florida,April,1026495093
218,Georgia,April,586297569
219,Hawaii,April,40333697
220,Idaho,April,98051596
221,Illinois,April,470589389
222,Indiana,April,354032796
223,Iowa,April,209861271
224,Kansas,April,141132012
225,Kentucky,April,255105568
226,Louisiana,April,259394973
227,Maine,April,8308886
228,Maryland,April,323805132
229,Massachusetts,April,238353347
230,Michigan,April,430065553
231,Minnesota,April,270201969
232,Mississippi,April,220460339
233,Missouri,April,347295247
234,Montana,April,61368737
235,Nebraska,April,118880964
236,Nevada,April,145977992
237,New Hampshire,April,63283284
238,New Jersey,April,360966662
239,New Mexico,April,147021008
240,New York,April,486474276
